date,season1_03,season1_05,season1_07,season1_10,season1_12,season2_03,season2_05,season2_07,season2_10,season2_12,report_year,report_week,report_week_total_calls,sin_report_week,cos_report_week,calls_month_1_away,calls_month_2_away,calls_month_3_away,calls_month_4_away,calls_month_5_away,calls_month_6_away,calls_month_7_away,calls_month_8_away,season1_03_divergence,season1_05_divergence,season1_07_divergence,season1_10_divergence,season1_12_divergence,season2_03_divergence,season2_05_divergence,season2_07_divergence,season2_10_divergence,season2_12_divergence,price,value_delta_mean_30_forward,value_delta_max_30_forward,pct_delta_mean_30_forward,pct_delta_max_30_forward,mean_rise_30_forward,max_rise_30_forward,value_delta_mean_15_forward,value_delta_max_15_forward,pct_delta_mean_15_forward,pct_delta_max_15_forward,mean_rise_15_forward,max_rise_15_forward,value_delta_mean_7_forward,value_delta_max_7_forward,pct_delta_mean_7_forward,pct_delta_max_7_forward,mean_rise_7_forward,max_rise_7_forward,report_month
2005-06-17,,,2525.0,4126.0,10332.0,7220.0,5574.0,6676.0,1163.0,2445.0,2005,25,40061,0.23931566428755768,-0.970941817426052,2525.0,4126.0,10332.0,7220.0,5574.0,6676.0,1163.0,2445.0,,,375.6363636363635,2860.227272727273,-14861.227272727272,-5386.521739130434,-828.869565217391,-2991.521739130434,537.1333333333333,-1294.391304347826,51.35,1.9099999999999966,4.5,0.03719571567672819,0.08763388510223957,1.0,1.0,2.606666666666669,4.5,0.050762739370334264,0.08763388510223957,1.0,1.0,1.442857142857143,2.8500000000000014,0.02809848379468627,0.05550146056475169,1.0,1.0,6
2005-06-24,,,187.0,4282.0,10895.0,8146.0,4826.0,7248.0,1221.0,2929.0,2005,26,39734,0.12053668025532308,-0.992708874098054,187.0,4282.0,10895.0,8146.0,4826.0,7248.0,1221.0,2929.0,,,-18.22727272727272,3011.727272727273,-15066.31818181818,-5045.782608695652,-1841.391304347826,-2936.304347826086,573.5333333333333,-1121.7391304347825,53.3,0.3716666666666697,2.5500000000000043,0.006973108192620536,0.047842401500938214,1.0,1.0,1.1933333333333351,2.5500000000000043,0.022388993120700418,0.047842401500938214,1.0,1.0,1.1499999999999986,1.8500000000000014,0.02157598499061919,0.03470919324577859,1.0,1.0,6
2005-07-01,,,13.0,4294.0,10240.0,8391.0,5270.0,7555.0,1370.0,2996.0,2005,27,40129,-3.216245299353273e-16,-1.0,13.0,4294.0,10240.0,8391.0,5270.0,7555.0,1370.0,2996.0,,,-16.318181818181817,3023.818181818182,-15746.090909090908,-5140.652173913044,-1598.0,-3013.347826086956,751.4117647058823,-1144.652173913043,55.15,-1.365000000000002,0.7000000000000028,-0.024750679963735256,0.012692656391659174,0.0,1.0,-1.480000000000004,0.7000000000000028,-0.02683590208522224,0.012692656391659174,0.0,1.0,0.15714285714286547,0.7000000000000028,0.0028493718430255832,0.012692656391659174,1.0,1.0,7
2005-07-08,,,13.0,4019.0,10510.0,8310.0,5290.0,7669.0,1267.0,2983.0,2005,28,40061,-0.12053668025532283,-0.992708874098054,13.0,4019.0,10510.0,8310.0,5290.0,7669.0,1267.0,2983.0,,,-6.727272727272727,2803.3478260869565,-14683.565217391304,-5608.391304347826,-1940.521739130435,-3437.260869565218,658.5882352941177,-1425.130434782609,55.45,-2.1083333333333343,0.09999999999999432,-0.0380222422602946,0.0018034265103696878,0.0,1.0,-2.886666666666663,0.0,-0.05205891193267198,0.0,0.0,0.0,-1.9500000000000028,0.0,-0.035166816952209246,0.0,0.0,0.0,7
2005-07-15,,,0.0,3802.0,9998.0,8811.0,5471.0,7703.0,1542.0,2989.0,2005,29,40316,-0.23931566428755743,-0.9709418174260521,0.0,3802.0,9998.0,8811.0,5471.0,7703.0,1542.0,2989.0,,,-8.4375,2665.818181818182,-16291.409090909092,-5929.652173913044,-2229.565217391304,-3776.173913043478,916.2777777777778,-1598.695652173913,52.3,0.75,3.25,0.014340344168260133,0.06214149139579361,1.0,1.0,0.5500000000000043,3.25,0.01051625239005749,0.06214149139579361,1.0,1.0,-0.5785714285714221,0.0,-0.011062551215514804,0.0,0.0,0.0,7
2005-07-22,,,,3817.0,11418.0,10858.0,7200.0,10056.0,1534.0,3048.0,2005,30,47931,-0.3546048870425356,-0.9350162426854148,3817.0,11418.0,10858.0,7200.0,10056.0,1534.0,3048.0,,,,,2746.272727272727,-15049.68181818182,-4559.739130434782,-762.739130434783,-1948.869565217392,886.5,-1602.130434782609,51.45,1.6999999999999957,4.099999999999994,0.033041788143828965,0.07968901846452847,1.0,1.0,2.4499999999999957,4.099999999999994,0.04761904761904745,0.07968901846452847,1.0,1.0,1.0642857142857167,4.099999999999994,0.020685825350548415,0.07968901846452847,1.0,1.0,7
2005-07-29,,,,3821.0,11872.0,11020.0,7341.0,10472.0,1574.0,3087.0,2005,31,49187,-0.46472317204376806,-0.8854560256532101,3821.0,11872.0,11020.0,7341.0,10472.0,1574.0,3087.0,,,,,2829.590909090909,-14433.227272727272,-4750.91304347826,-851.173913043478,-1747.347826086956,708.1666666666666,-1664.217391304348,52.2,1.2350000000000065,3.3499999999999943,0.023659003831417724,0.06417624521072796,1.0,1.0,1.9199999999999946,3.3499999999999943,0.0367816091954023,0.06417624521072796,1.0,1.0,2.8142857142857096,3.3499999999999943,0.053913519430760726,0.06417624521072796,1.0,1.0,7
2005-08-05,,,,3734.0,11829.0,11217.0,7375.0,10720.0,1585.0,3412.0,2005,32,49872,-0.5680647467311556,-0.8229838658936565,3734.0,11829.0,11217.0,7375.0,10720.0,1585.0,3412.0,,,,,2796.090909090909,-14595.090909090908,-4958.95652173913,-1021.95652173913,-1865.652173913044,845.6111111111111,-1508.608695652174,55.55,-2.354999999999997,0.0,-0.04239423942394238,0.0,0.0,0.0,-2.299999999999997,0.0,-0.04140414041404139,0.0,0.0,0.0,-1.164285714285711,0.0,-0.020959238781020906,0.0,0.0,0.0,8
2005-08-12,,,,3450.0,12026.0,11513.0,7761.0,11162.0,1722.0,3644.0,2005,33,51278,-0.663122658240795,-0.7485107481711013,3450.0,12026.0,11513.0,7761.0,11162.0,1722.0,3644.0,,,,,2606.5454545454545,-13056.090909090908,-5196.304347826088,-846.0,-1892.08695652174,940.5555555555555,-1349.913043478261,53.55,-0.5083333333333329,1.4500000000000028,-0.009492685963274239,0.027077497665733086,0.0,1.0,-1.1499999999999986,0.0,-0.02147525676937434,0.0,0.0,0.0,-1.057142857142857,0.0,-0.019741229825263384,0.0,0.0,0.0,8
2005-08-19,,,,2721.0,11136.0,11214.0,8200.0,11351.0,1805.0,3550.0,2005,34,49977,-0.7485107481711011,-0.6631226582407952,2721.0,11136.0,11214.0,8200.0,11351.0,1805.0,3550.0,,,,,2024.7272727272727,-13093.363636363636,-5904.652173913044,-655.652173913044,-2066.95652173913,1010.3333333333334,-1569.347826086957,52.05,1.4366666666666674,4.550000000000004,0.0276016650656421,0.08741594620557169,1.0,1.0,0.7000000000000028,2.950000000000003,0.01344860710854956,0.0566762728146013,1.0,1.0,0.13571428571429323,0.5,0.002607383010841291,0.009606147934678289,1.0,1.0,8
