open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1712987100000,1712987999999,67535.05,67584.0,67300.3,67345.48,314.1983,21193550.03180830,21558,67535.05,BTCUSDT
1712988000000,1712988899999,67345.48,67511.0,67345.47,67389.21,244.16712,16466584.39623110,23415,67345.48,BTCUSDT
1712988900000,1712989799999,67389.22,67396.0,67258.63,67381.36,218.92664,14736748.42313270,12634,67389.22,BTCUSDT
1712989800000,1712990699999,67381.35,67436.47,67285.71,67422.87,210.09473,14155323.13613270,10674,67381.35,BTCUSDT
1712990700000,1712991599999,67422.87,67492.32,67308.09,67476.02,168.23802,11336346.12304530,9571,67422.87,BTCUSDT
1712991600000,1712992499999,67476.01,67563.66,67366.63,67368.69,240.24415,16211400.57045660,14710,67476.01,BTCUSDT
1712992500000,1712993399999,67368.69,67368.7,67120.87,67351.65,340.98615,22923960.48726190,20494,67368.69,BTCUSDT
1712993400000,1712994299999,67351.64,67513.31,67269.57,67450.55,217.14862,14640417.81439320,16235,67351.64,BTCUSDT
1712994300000,1712995199999,67450.54,67499.12,67344.32,67446.52,189.81729,12796084.23101130,15441,67450.54,BTCUSDT
1712995200000,1712996099999,67446.53,67455.0,67226.14,67235.0,248.33198,16720364.35955910,13659,67446.53,BTCUSDT
1712996100000,1712996999999,67235.0,67396.64,67153.84,67389.48,204.81307,13775827.25855420,14293,67235.0,BTCUSDT
1712997000000,1712997899999,67389.49,67400.0,67258.66,67279.99,177.73606,11967744.85891020,12734,67389.49,BTCUSDT
1712997900000,1712998799999,67279.98,67285.38,67090.83,67176.0,317.52923,21326358.21958520,14866,67279.98,BTCUSDT
1712998800000,1712999699999,67175.99,67264.0,67136.14,67148.01,305.58925,20537616.76931810,15104,67175.99,BTCUSDT
1712999700000,1713000599999,67148.01,67285.72,67148.0,67201.03,161.81951,10878411.73394270,10884,67148.01,BTCUSDT
1713000600000,1713001499999,67201.02,67393.44,67180.02,67368.0,203.92251,13722182.25199500,12222,67201.02,BTCUSDT
1713001500000,1713002399999,67367.99,67475.0,67341.42,67393.85,168.33838,11347134.33841490,11960,67367.99,BTCUSDT
1713002400000,1713003299999,67393.84,67446.72,67318.68,67424.5,178.35381,12017796.86487090,14300,67393.84,BTCUSDT
1713003300000,1713004199999,67424.5,67458.66,67311.77,67327.67,133.67881,9011597.44803680,11499,67424.5,BTCUSDT
1713004200000,1713005099999,67327.68,67480.2,67327.67,67387.99,154.08421,10387589.48986710,9837,67327.68,BTCUSDT
